event_id,slug,match,start_time_utc,team_a,team_b,predicted_outcome,predicted_trade,contract_outcome,contract_side,market_id,market_question,polymarket_price_x,backtest_accuracy_p,expected_value,expected_value_simplified,profit_if_win_per_share,loss_if_lose_per_share,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win,rating_edge,abs_rating_edge,rating_edge_bin,team_a_win_probability,draw_probability,team_b_win_probability,team_a_loss_probability,no_draw_probability,team_b_loss_probability,model_pick_3way,market_pick_3way,best_bid,best_ask,recommended
351724,fifwc-nld-jpn-2026-06-14,Netherlands vs. Japan,2026-06-14T20:00:00Z,Netherlands,Japan,no_draw,Draw NO,Draw,NO,1897062,Will Netherlands vs. Japan end in a draw?,0.725,0.824176,0.099176,0.099176,0.275,-0.725,0.360639,0.09016,90.16,90.16,34.2,0.01248,0.01248,0.00-0.03,0.42522,0.213242,0.361538,0.57478,0.786758,0.638462,Netherlands,Netherlands,0.27,0.28,YES
351725,fifwc-civ-ecu-2026-06-14,Côte d'Ivoire vs. Ecuador,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,team_a_loss,Ivory Coast NO,Ivory Coast,NO,1897064,Will Côte d'Ivoire win on 2026-06-14?,0.705,0.824176,0.119176,0.119176,0.295,-0.705,0.403986,0.100996,101.0,101.0,42.26,-0.14872,0.14872,0.10-0.15,0.107209,0.151688,0.741103,0.892791,0.848312,0.258897,Ecuador,Ecuador,0.29,0.3,YES
351726,fifwc-swe-tun-2026-06-14,Sweden vs. Tunisia,2026-06-15T02:00:00Z,Sweden,Tunisia,team_b_loss,Tunisia NO,Tunisia,NO,1897069,Will Tunisia win on 2026-06-14?,0.785,0.824176,0.039176,0.039176,0.215,-0.785,0.182213,0.045553,45.55,45.55,12.48,0.105065,0.105065,0.10-0.15,0.66192,0.16918,0.1689,0.33808,0.83082,0.8311,Sweden,Sweden,0.21,0.22,YES
351727,fifwc-esp-cvi-2026-06-15,Spain vs. Cabo Verde,2026-06-15T16:00:00Z,Spain,Cape Verde,team_b_loss,Cape Verde NO,Cape Verde,NO,1897072,Will Cabo Verde win on 2026-06-15?,0.9665,0.824176,-0.142324,-0.142324,0.0335,-0.9665,0.0,0,0.0,0.0,0.0,0.625457,0.625457,0.35+,0.939723,0.06,0.000277,0.060277,0.94,0.999723,Spain,Spain,0.033,0.034,PASS
351728,fifwc-bel-egy-2026-06-15,Belgium vs. Egypt,2026-06-15T19:00:00Z,Belgium,Egypt,team_b_loss,Egypt NO,Egypt,NO,1897075,Will Egypt win on 2026-06-15?,0.835,0.824176,-0.010824,-0.010824,0.165,-0.835,0.0,0,0.0,0.0,0.0,0.144728,0.144728,0.10-0.15,0.734827,0.15321,0.111963,0.265173,0.84679,0.888037,Belgium,Belgium,0.16,0.17,PASS
351729,fifwc-ksa-ury-2026-06-15,Saudi Arabia vs. Uruguay,2026-06-15T22:00:00Z,Saudi Arabia,Uruguay,team_a_loss,Saudi Arabia NO,Saudi Arabia,NO,1897076,Will Saudi Arabia win on 2026-06-15?,0.885,0.824176,-0.060824,-0.060824,0.115,-0.885,0.0,0,0.0,0.0,0.0,-0.10569,0.10569,0.10-0.15,0.167861,0.168916,0.663223,0.832139,0.831084,0.336777,Uruguay,Uruguay,0.11,0.12,PASS
351730,fifwc-irn-nzl-2026-06-15,IR Iran vs. New Zealand,2026-06-16T01:00:00Z,Iran,New Zealand,team_b_loss,New Zealand NO,New Zealand,NO,1897081,Will New Zealand win on 2026-06-15?,0.795,0.824176,0.029176,0.029176,0.205,-0.795,0.142321,0.03558,35.58,35.58,9.17,0.146621,0.146621,0.10-0.15,0.737826,0.152486,0.109688,0.262174,0.847514,0.890312,Iran,Iran,0.2,0.21,YES
351731,fifwc-fra-sen-2026-06-16,France vs. Senegal,2026-06-16T19:00:00Z,France,Senegal,team_b_loss,Senegal NO,Senegal,NO,1897084,Will Senegal win on 2026-06-16?,0.875,0.824176,-0.050824,-0.050824,0.125,-0.875,0.0,0,0.0,0.0,0.0,0.418085,0.418085,0.35+,0.918638,0.077356,0.004006,0.081362,0.922644,0.995994,France,France,0.12,0.13,PASS
351732,fifwc-irq-nor-2026-06-16,Iraq vs. Norway,2026-06-16T22:00:00Z,Iraq,Norway,team_a_loss,Iraq NO,Iraq,NO,1897085,Will Iraq win on 2026-06-16?,0.945,0.824176,-0.120824,-0.120824,0.055,-0.945,0.0,0,0.0,0.0,0.0,-0.155404,0.155404,0.15-0.22,0.099626,0.149175,0.7512,0.900374,0.850825,0.2488,Norway,Norway,0.05,0.06,PASS
351733,fifwc-arg-alg-2026-06-16,Argentina vs. Algeria,2026-06-17T01:00:00Z,Argentina,Algeria,team_b_loss,Algeria NO,Algeria,NO,1897090,Will Algeria win on 2026-06-16?,0.905,0.824176,-0.080824,-0.080824,0.095,-0.905,0.0,0,0.0,0.0,0.0,0.441151,0.441151,0.35+,0.923993,0.073021,0.002985,0.076007,0.926979,0.997015,Argentina,Argentina,0.09,0.1,PASS
351734,fifwc-aut-jor-2026-06-17,Austria vs. Jordan,2026-06-17T04:00:00Z,Austria,Jordan,team_b_loss,Jordan NO,Jordan,NO,1897093,Will Jordan win on 2026-06-17?,0.895,0.824176,-0.070824,-0.070824,0.105,-0.895,0.0,0,0.0,0.0,0.0,0.214488,0.214488,0.15-0.22,0.820811,0.12869,0.050499,0.179189,0.87131,0.949501,Austria,Austria,0.1,0.11,PASS
351735,fifwc-prt-cdr-2026-06-17,Portugal vs. DR Congo,2026-06-17T17:00:00Z,Portugal,Congo DR,team_b_loss,Congo DR NO,Congo DR,NO,1897096,Will DR Congo win on 2026-06-17?,0.925,0.824176,-0.100824,-0.100824,0.075,-0.925,0.0,0,0.0,0.0,0.0,0.456988,0.456988,0.35+,0.927374,0.070187,0.002439,0.072626,0.929813,0.997561,Portugal,Portugal,0.07,0.08,PASS
351736,fifwc-eng-hrv-2026-06-17,England vs. Croatia,2026-06-17T20:00:00Z,England,Croatia,team_b_loss,Croatia NO,Croatia,NO,1897099,Will Croatia win on 2026-06-17?,0.815,0.824176,0.009176,0.009176,0.185,-0.815,0.049599,0.0124,12.4,12.4,2.81,0.15894,0.15894,0.15-0.22,0.756338,0.147862,0.095801,0.243662,0.852138,0.904199,England,England,0.18,0.19,YES
351737,fifwc-gha-pan-2026-06-17,Ghana vs. Panama,2026-06-17T23:00:00Z,Ghana,Panama,team_a_loss,Ghana NO,Ghana,NO,1897100,Will Ghana win on 2026-06-17?,0.565,0.824176,0.259176,0.259176,0.435,-0.565,0.595806,0.148952,148.95,148.95,114.68,-0.144371,0.144371,0.10-0.15,0.112397,0.153347,0.734257,0.887603,0.846653,0.265743,Panama,Ghana,0.43,0.44,YES
351738,fifwc-uzb-col-2026-06-17,Uzbekistan vs. Colombia,2026-06-18T02:00:00Z,Uzbekistan,Colombia,team_a_loss,Uzbekistan NO,Uzbekistan,NO,1897103,Will Uzbekistan win on 2026-06-17?,0.905,0.824176,-0.080824,-0.080824,0.095,-0.905,0.0,0,0.0,0.0,0.0,-0.241903,0.241903,0.22-0.35,0.036336,0.120165,0.843498,0.963664,0.879835,0.156502,Colombia,Colombia,0.09,0.1,PASS
351739,fifwc-cze-rsa-2026-06-18,Czechia vs. South Africa,2026-06-18T16:00:00Z,Czech Republic,South Africa,team_b_loss,South Africa NO,South Africa,NO,1897108,Will South Africa win on 2026-06-18?,0.795,0.824176,0.029176,0.029176,0.205,-0.795,0.142321,0.03558,35.58,35.58,9.17,0.115693,0.115693,0.10-0.15,0.683382,0.164745,0.151874,0.316618,0.835255,0.848126,Czech Republic,Czech Republic,0.2,0.21,YES
351740,fifwc-che-bih-2026-06-18,Switzerland vs. Bosnia-Herzegovina,2026-06-18T19:00:00Z,Switzerland,Bosnia and Herzegovina,team_b_loss,Bosnia and Herzegovina NO,Bosnia and Herzegovina,NO,1897111,Will Bosnia and Herzegovina win on 2026-06-18?,0.845,0.824176,-0.020824,-0.020824,0.155,-0.845,0.0,0,0.0,0.0,0.0,0.256952,0.256952,0.22-0.35,0.854019,0.115729,0.030253,0.145981,0.884271,0.969747,Switzerland,Switzerland,0.15,0.16,PASS
351741,fifwc-can-qat-2026-06-18,Canada vs. Qatar,2026-06-18T22:00:00Z,Canada,Qatar,team_b_loss,Qatar NO,Qatar,NO,1897114,Will Qatar win on 2026-06-18?,0.925,0.824176,-0.100824,-0.100824,0.075,-0.925,0.0,0,0.0,0.0,0.0,0.166358,0.166358,0.15-0.22,0.766673,0.145145,0.088182,0.233327,0.854855,0.911818,Canada,Canada,0.07,0.08,PASS
351742,fifwc-mex-kr-2026-06-18,Mexico vs. Korea Republic,2026-06-19T01:00:00Z,Mexico,South Korea,no_draw,Draw NO,Draw,NO,1897116,Will Mexico vs. Korea Republic end in a draw?,0.715,0.824176,0.109176,0.109176,0.285,-0.715,0.383073,0.095768,95.77,95.77,38.17,0.007679,0.007679,0.00-0.03,0.411647,0.215817,0.372536,0.588353,0.784183,0.627464,Mexico,Mexico,0.28,0.29,YES
351743,fifwc-usa-aus-2026-06-19,United States vs. Australia,2026-06-19T19:00:00Z,United States,Australia,no_draw,Draw NO,Draw,NO,1897119,Will United States vs. Australia end in a draw?,0.785,0.824176,0.039176,0.039176,0.215,-0.785,0.182213,0.045553,45.55,45.55,12.48,0.04566,0.04566,0.03-0.06,0.517755,0.196267,0.285978,0.482245,0.803733,0.714022,United States,United States,0.21,0.22,YES
351744,fifwc-sco-mar-2026-06-19,Scotland vs. Morocco,2026-06-19T22:00:00Z,Scotland,Morocco,no_draw,Draw NO,Draw,NO,1897122,Will Scotland vs. Morocco end in a draw?,0.745,0.824176,0.079176,0.079176,0.255,-0.745,0.310493,0.077623,77.62,77.62,26.57,-0.086333,0.086333,0.06-0.10,0.202041,0.177292,0.620668,0.797959,0.822708,0.379332,Morocco,Morocco,0.25,0.26,YES
351745,fifwc-bra-hai-2026-06-19,Brazil vs. Haiti,2026-06-20T00:30:00Z,Brazil,Haiti,team_b_loss,Haiti NO,Haiti,NO,1897126,Will Haiti win on 2026-06-19?,0.9615,0.824176,-0.137324,-0.137324,0.0385,-0.9615,0.0,0,0.0,0.0,0.0,0.533711,0.533711,0.35+,0.939089,0.06,0.000911,0.060911,0.94,0.999089,Brazil,Brazil,0.038,0.039,PASS
351746,fifwc-tur-par-2026-06-19,Türkiye vs. Paraguay,2026-06-20T03:00:00Z,Turkey,Paraguay,team_b_loss,Paraguay NO,Paraguay,NO,1897133,Will Paraguay win on 2026-06-19?,0.765,0.824176,0.059176,0.059176,0.235,-0.765,0.251812,0.062953,62.95,62.95,19.34,0.15383,0.15383,0.15-0.22,0.748868,0.149763,0.10137,0.251132,0.850237,0.89863,Turkey,Turkey,0.23,0.24,YES
351747,fifwc-nld-swe-2026-06-20,Netherlands vs. Sweden,2026-06-20T17:00:00Z,Netherlands,Sweden,team_b_loss,Sweden NO,Sweden,NO,1897146,Will Sweden win on 2026-06-20?,0.825,0.824176,-0.000824,-0.000824,0.175,-0.825,0.0,0,0.0,0.0,0.0,0.223072,0.223072,0.22-0.35,0.828455,0.125958,0.045587,0.171545,0.874042,0.954413,Netherlands,Netherlands,0.17,0.18,PASS
351748,fifwc-ger-civ-2026-06-20,Germany vs. Côte d'Ivoire,2026-06-20T20:00:00Z,Germany,Ivory Coast,team_b_loss,Ivory Coast NO,Ivory Coast,NO,1897149,Will Côte d'Ivoire win on 2026-06-20?,0.835,0.824176,-0.010824,-0.010824,0.165,-0.835,0.0,0,0.0,0.0,0.0,0.322027,0.322027,0.22-0.35,0.888146,0.098353,0.013501,0.111854,0.901647,0.986499,Germany,Germany,0.16,0.17,PASS
351749,fifwc-ecu-kor-2026-06-20,Ecuador vs. Curaçao,2026-06-21T00:00:00Z,Ecuador,Curaçao,team_b_loss,Curaçao NO,Curaçao,NO,1897152,Will Curaçao win on 2026-06-20?,0.9485,0.824176,-0.124324,-0.124324,0.0515,-0.9485,0.0,0,0.0,0.0,0.0,0.331817,0.331817,0.22-0.35,0.892085,0.095975,0.01194,0.107915,0.904025,0.98806,Ecuador,Ecuador,0.05,0.053,PASS
