market_id,question,slug,market_type,team,group,yes_price,no_price,liquidity,volume,end_date,model_probability,calibrated_yes_probability,recommended_side,trade_probability,trade_price,edge,ev_per_dollar,full_kelly_fraction,deploy_fraction,deploy_amount,max_loss,profit_if_win
558938,Will Argentina win the 2026 FIFA World Cup?,will-argentina-win-the-2026-fifa-world-cup-245,outright_winner,Argentina,,0.0785,0.9215,5827206.73336,38647281.79893181,2026-07-20T00:00:00Z,0.3521,0.198242,YES,0.198242,0.0785,0.119742,1.525373,0.129942,0.00952,9.52,9.52,111.75
839357,Will Mexico win Group A in the 2026 FIFA World Cup?,will-mexico-win-group-a-in-the-2026-fifa-world-cup,group_winner,Mexico,A,0.625,0.375,127064.9223,362777.8639439993,2026-06-27T00:00:00Z,0.3344,0.497818,NO,0.502182,0.375,0.127182,0.339152,0.203491,0.00952,9.52,9.52,15.87
839359,Will South Korea win Group A in the 2026 FIFA World Cup?,will-south-korea-win-group-a-in-the-2026-fifa-world-cup,group_winner,South Korea,A,0.345,0.655,59626.3005,123570.16040800005,2026-06-27T00:00:00Z,0.5248,0.42369,YES,0.42369,0.345,0.07869,0.228087,0.120137,0.00952,9.52,9.52,18.07
839959,Will France win Group I in the 2026 FIFA World Cup?,will-france-win-group-i-in-the-2026-fifa-world-cup,group_winner,France,I,0.655,0.345,74413.0144,191497.89507899943,2026-06-27T00:00:00Z,0.9041,0.764019,YES,0.764019,0.655,0.109019,0.166442,0.315998,0.00952,9.52,9.52,5.01
839969,Will Argentina win Group J in the 2026 FIFA World Cup?,will-argentina-win-group-j-in-the-2026-fifa-world-cup,group_winner,Argentina,J,0.715,0.285,94038.8428,170105.54508299934,2026-06-27T00:00:00Z,0.93865,0.812881,YES,0.812881,0.715,0.097881,0.136897,0.343442,0.00952,9.52,9.52,3.79
839429,Will Germany win Group E in the 2026 FIFA World Cup?,will-germany-win-group-e-in-the-2026-fifa-world-cup,group_winner,Germany,E,0.665,0.335,41002.2375,154482.60036700015,2026-06-27T00:00:00Z,0.81255,0.729576,YES,0.729576,0.665,0.064576,0.097106,0.192763,0.00952,9.52,9.52,4.8
839962,Will Norway win Group I in the 2026 FIFA World Cup?,will-norway-win-group-i-in-the-2026-fifa-world-cup,group_winner,Norway,I,0.245,0.755,68186.4226,65149.769147999956,2026-06-27T00:00:00Z,0.07955,0.17259,NO,0.82741,0.755,0.07241,0.095907,0.29555,0.00952,9.52,9.52,3.09
840171,Will Portugal win Group K in the 2026 FIFA World Cup?,will-portugal-win-group-k-in-the-2026-fifa-world-cup,group_winner,Portugal,K,0.635,0.365,40151.3725,176318.84104199955,2026-06-27T00:00:00Z,0.7572,0.688481,YES,0.688481,0.635,0.053481,0.084222,0.146524,0.00952,9.52,9.52,5.47
839395,Will Bosnia and Herzegovina win Group B in the 2026 FIFA World Cup?,will-the-winner-of-bosnia-and-herzegovinaitalynorthern-irelandwales-win-group-a-in-the-2026-fifa-world-cup,group_winner,Bosnia and Herzegovina,B,0.18,0.82,17310.6583,120726.8776629999,2026-06-27T00:00:00Z,0.0327,0.115534,NO,0.884466,0.82,0.064466,0.078617,0.358146,0.00952,9.52,9.52,2.09
839397,Will Switzerland win Group B in the 2026 FIFA World Cup?,will-switzerland-win-group-a-in-the-2026-fifa-world-cup,group_winner,Switzerland,B,0.565,0.435,43029.8845,180557.93467899968,2026-06-27T00:00:00Z,0.6645,0.608546,YES,0.608546,0.565,0.043546,0.077073,0.100107,0.00952,9.52,9.52,7.33
839971,Will Austria win Group J in the 2026 FIFA World Cup?,will-austria-win-group-j-in-the-2026-fifa-world-cup,group_winner,Austria,J,0.185,0.815,68954.9343,44907.71037000001,2026-06-27T00:00:00Z,0.0449,0.123685,NO,0.876315,0.815,0.061315,0.075233,0.331433,0.00952,9.52,9.52,2.16
839421,Will Paraguay win Group D in the 2026 FIFA World Cup?,will-paraguay-win-group-d-in-the-2026-fifa-world-cup,group_winner,Paraguay,D,0.195,0.805,38715.7236,133202.39009699994,2026-06-27T00:00:00Z,0.0585,0.13526,NO,0.86474,0.805,0.05974,0.074211,0.306357,0.00952,9.52,9.52,2.31
839420,Will USA win Group D in the 2026 FIFA World Cup?,will-usa-win-group-d-in-the-2026-fifa-world-cup,group_winner,United States,D,0.365,0.635,94970.0991,134040.63102799858,2026-06-27T00:00:00Z,0.26455,0.321038,NO,0.678962,0.635,0.043962,0.069232,0.120444,0.00952,9.52,9.52,5.47
839564,Will Uruguay win Group H in the 2026 FIFA World Cup?,will-uruguay-win-group-h-in-the-2026-fifa-world-cup,group_winner,Uruguay,H,0.195,0.805,61281.5234,30964.71580400003,2026-06-27T00:00:00Z,0.0724,0.141344,NO,0.858656,0.805,0.053656,0.066654,0.27516,0.00952,9.52,9.52,2.31
839561,Will Spain win Group H in the 2026 FIFA World Cup?,will-spain-win-group-h-in-the-2026-fifa-world-cup,group_winner,Spain,H,0.795,0.205,81979.4749,63731.67071399997,2026-06-27T00:00:00Z,0.9147,0.847387,YES,0.847387,0.795,0.052387,0.065896,0.255547,0.00952,9.52,9.52,2.45
840174,Will Colombia win Group K in the 2026 FIFA World Cup?,will-colombia-win-group-k-in-the-2026-fifa-world-cup,group_winner,Colombia,K,0.325,0.675,55319.0892,49890.33607999995,2026-06-27T00:00:00Z,0.22775,0.282438,NO,0.717562,0.675,0.042562,0.063054,0.130959,0.00952,9.52,9.52,4.58
839436,Will Sweden win Group F in the 2026 FIFA World Cup?,will-sweden-win-group-f-in-the-2026-fifa-world-cup,group_winner,Sweden,F,0.145,0.855,47282.9778,63708.14986399989,2026-06-27T00:00:00Z,0.02985,0.094604,NO,0.905396,0.855,0.050396,0.058942,0.347557,0.00952,9.52,9.52,1.61
839431,Will Ivory Coast win Group E in the 2026 FIFA World Cup?,will-ivory-coast-win-group-e-in-the-2026-fifa-world-cup,group_winner,Ivory Coast,E,0.1265,0.8735,73286.27243,45856.13336900002,2026-06-27T00:00:00Z,0.0179,0.078971,NO,0.921029,0.8735,0.047529,0.054412,0.375724,0.00952,9.52,9.52,1.38
839960,Will Senegal win Group I in the 2026 FIFA World Cup?,will-senegal-win-group-i-in-the-2026-fifa-world-cup,group_winner,Senegal,I,0.115,0.885,76409.9045,92736.54585500002,2026-06-27T00:00:00Z,0.0087,0.068478,NO,0.931522,0.885,0.046522,0.052568,0.404543,0.00952,9.52,9.52,1.24
839440,Will Egypt win Group G in the 2026 FIFA World Cup?,will-egypt-win-group-g-in-the-2026-fifa-world-cup,group_winner,Egypt,G,0.165,0.835,45779.0027,37826.153109000006,2026-06-27T00:00:00Z,0.0739,0.12513,NO,0.87487,0.835,0.03987,0.047749,0.241637,0.00952,9.52,9.52,1.88
839970,Will Algeria win Group J in the 2026 FIFA World Cup?,will-algeria-win-group-j-in-the-2026-fifa-world-cup,group_winner,Algeria,J,0.0945,0.9055,55153.86954,55199.80564900005,2026-06-27T00:00:00Z,0.01415,0.059335,NO,0.940665,0.9055,0.035165,0.038835,0.372121,0.00952,9.52,9.52,0.99
839399,Will Brazil win Group C in the 2026 FIFA World Cup?,will-brazil-win-group-c-in-the-2026-fifa-world-cup,group_winner,Brazil,C,0.715,0.285,70788.7184,158243.68282800048,2026-06-27T00:00:00Z,0.7737,0.74069,YES,0.74069,0.715,0.02569,0.03593,0.090141,0.00952,9.52,9.52,3.79
839423,Will Türkiye win Group D in the 2026 FIFA World Cup?,will-the-winner-of-kosovoromaniaslovakiatrkiye-playoff-win-group-d-in-the-2026-fifa-world-cup,group_winner,Turkey,D,0.365,0.635,38848.2812,213319.31785200033,2026-06-27T00:00:00Z,0.47325,0.412376,YES,0.412376,0.365,0.047376,0.129797,0.074608,0.00888,8.88,8.88,15.45
839434,Will Netherlands win Group F in the 2026 FIFA World Cup?,will-netherlands-win-group-f-in-the-2026-fifa-world-cup,group_winner,Netherlands,F,0.54,0.46,77530.498,115405.32872199992,2026-06-27T00:00:00Z,0.61845,0.574334,YES,0.574334,0.54,0.034334,0.063581,0.074639,0.00888,8.88,8.88,7.56
839422,Will Australia win Group D in the 2026 FIFA World Cup?,will-australia-win-group-d-in-the-2026-fifa-world-cup,group_winner,Australia,D,0.091,0.909,68741.03444,61561.7598479999,2026-06-27T00:00:00Z,0.2037,0.140323,YES,0.140323,0.091,0.049323,0.542016,0.054261,0.00646,6.46,6.46,64.53
