probability_source,bin_low,bin_high,count,frequency
polymarket,-1209.9417618067573,-1157.4698261964684,2,0.0001
polymarket,-1157.4698261964684,-1104.9978905861794,0,0.0
polymarket,-1104.9978905861794,-1052.5259549758903,3,0.00015
polymarket,-1052.5259549758903,-1000.0540193656013,6,0.0003
polymarket,-1000.0540193656013,-947.5820837553124,12,0.0006
polymarket,-947.5820837553124,-895.1101481450235,19,0.00095
polymarket,-895.1101481450235,-842.6382125347345,31,0.00155
polymarket,-842.6382125347345,-790.1662769244455,43,0.00215
polymarket,-790.1662769244455,-737.6943413141564,64,0.0032
polymarket,-737.6943413141564,-685.2224057038675,116,0.0058
polymarket,-685.2224057038675,-632.7504700935785,116,0.0058
polymarket,-632.7504700935785,-580.2785344832896,206,0.0103
polymarket,-580.2785344832896,-527.8065988730006,282,0.0141
polymarket,-527.8065988730006,-475.3346632627116,336,0.0168
polymarket,-475.3346632627116,-422.86272765242256,467,0.02335
polymarket,-422.86272765242256,-370.3907920421336,569,0.02845
polymarket,-370.3907920421336,-317.9188564318447,691,0.03455
polymarket,-317.9188564318447,-265.44692082155564,845,0.04225
polymarket,-265.44692082155564,-212.9749852112667,984,0.0492
polymarket,-212.9749852112667,-160.50304960097765,1074,0.0537
polymarket,-160.50304960097765,-108.03111399068871,1279,0.06395
polymarket,-108.03111399068871,-55.55917838039977,1268,0.0634
polymarket,-55.55917838039977,-3.0872427701108336,1310,0.0655
polymarket,-3.0872427701108336,49.384692840178104,1340,0.067
polymarket,49.384692840178104,101.85662845046727,1360,0.068
polymarket,101.85662845046727,154.3285640607562,1278,0.0639
polymarket,154.3285640607562,206.80049967104515,1141,0.05705
polymarket,206.80049967104515,259.2724352813341,1083,0.05415
polymarket,259.2724352813341,311.744370891623,970,0.0485
polymarket,311.744370891623,364.2163065019122,852,0.0426
polymarket,364.2163065019122,416.6882421122011,629,0.03145
polymarket,416.6882421122011,469.16017772249006,532,0.0266
polymarket,469.16017772249006,521.632113332779,377,0.01885
polymarket,521.632113332779,574.1040489430679,289,0.01445
polymarket,574.1040489430679,626.5759845533571,185,0.00925
polymarket,626.5759845533571,679.047920163646,132,0.0066
polymarket,679.047920163646,731.519855773935,52,0.0026
polymarket,731.519855773935,783.9917913842239,30,0.0015
polymarket,783.9917913842239,836.4637269945129,17,0.00085
polymarket,836.4637269945129,888.935662604802,10,0.0005
model,-631.9463294911643,-593.9242796887652,1,5e-05
model,-593.9242796887652,-555.902229886366,4,0.0002
model,-555.902229886366,-517.8801800839668,4,0.0002
model,-517.8801800839668,-479.8581302815677,3,0.00015
model,-479.8581302815677,-441.8360804791685,5,0.00025
model,-441.8360804791685,-403.81403067676933,5,0.00025
model,-403.81403067676933,-365.7919808743702,6,0.0003
model,-365.7919808743702,-327.76993107197103,9,0.00045
model,-327.76993107197103,-289.74788126957185,14,0.0007
model,-289.74788126957185,-251.72583146717272,26,0.0013
model,-251.72583146717272,-213.70378166477354,39,0.00195
model,-213.70378166477354,-175.68173186237436,52,0.0026
model,-175.68173186237436,-137.65968205997524,58,0.0029
model,-137.65968205997524,-99.63763225757612,90,0.0045
model,-99.63763225757612,-61.61558245517688,121,0.00605
model,-61.61558245517688,-23.593532652777753,189,0.00945
model,-23.593532652777753,14.42851714962137,200,0.01
model,14.42851714962137,52.45056695202061,255,0.01275
model,52.45056695202061,90.47261675441973,285,0.01425
model,90.47261675441973,128.49466655681886,423,0.02115
model,128.49466655681886,166.5167163592181,476,0.0238
model,166.5167163592181,204.53876616161722,613,0.03065
model,204.53876616161722,242.56081596401634,704,0.0352
model,242.56081596401634,280.5828657664156,851,0.04255
model,280.5828657664156,318.6049155688147,924,0.0462
model,318.6049155688147,356.6269653712138,1171,0.05855
model,356.6269653712138,394.64901517361295,1090,0.0545
model,394.64901517361295,432.6710649760121,1239,0.06195
model,432.6710649760121,470.6931147784114,1286,0.0643
model,470.6931147784114,508.71516458081055,1338,0.0669
model,508.71516458081055,546.7372143832097,1303,0.06515
model,546.7372143832097,584.7592641856088,1264,0.0632
model,584.7592641856088,622.7813139880079,1275,0.06375
model,622.7813139880079,660.803363790407,1166,0.0583
model,660.803363790407,698.8254135928062,892,0.0446
model,698.8254135928062,736.8474633952055,881,0.04405
model,736.8474633952055,774.8695131976046,692,0.0346
model,774.8695131976046,812.8915630000038,336,0.0168
model,812.8915630000038,850.9136128024029,364,0.0182
model,850.9136128024029,888.935662604802,346,0.0173
