trade_index,match,start_time_utc,predicted_trade,contract_side,price,model_probability,polymarket_probability,deploy_amount,shares,profit_if_win,loss_if_lose,rating_edge,rating_edge_bin
1,Netherlands vs. Japan,2026-06-14T20:00:00Z,Draw NO,NO,0.725,0.786758,0.725,90.16,124.35862068965517,34.19862068965517,-90.16,0.01248,0.00-0.03
2,Côte d'Ivoire vs. Ecuador,2026-06-14T23:00:00Z,Ivory Coast NO,NO,0.705,0.892791,0.705,101.0,143.26241134751774,42.26241134751774,-101.0,-0.14872,0.10-0.15
3,Sweden vs. Tunisia,2026-06-15T02:00:00Z,Tunisia NO,NO,0.785,0.8311,0.785,45.55,58.02547770700637,12.475477707006368,-45.55,0.105065,0.10-0.15
4,IR Iran vs. New Zealand,2026-06-16T01:00:00Z,New Zealand NO,NO,0.795,0.890312,0.795,35.58,44.75471698113207,9.174716981132072,-35.58,0.146621,0.10-0.15
5,England vs. Croatia,2026-06-17T20:00:00Z,Croatia NO,NO,0.815,0.904199,0.815,12.4,15.214723926380369,2.814723926380369,-12.4,0.15894,0.15-0.22
6,Ghana vs. Panama,2026-06-17T23:00:00Z,Ghana NO,NO,0.565,0.887603,0.565,148.95,263.6283185840708,114.67831858407082,-148.95,-0.144371,0.10-0.15
7,Czechia vs. South Africa,2026-06-18T16:00:00Z,South Africa NO,NO,0.795,0.848126,0.795,35.58,44.75471698113207,9.174716981132072,-35.58,0.115693,0.10-0.15
8,Mexico vs. Korea Republic,2026-06-19T01:00:00Z,Draw NO,NO,0.715,0.784183,0.715,95.77,133.94405594405595,38.17405594405595,-95.77,0.007679,0.00-0.03
9,United States vs. Australia,2026-06-19T19:00:00Z,Draw NO,NO,0.785,0.803733,0.785,45.55,58.02547770700637,12.475477707006368,-45.55,0.04566,0.03-0.06
10,Scotland vs. Morocco,2026-06-19T22:00:00Z,Draw NO,NO,0.745,0.822708,0.745,77.62,104.18791946308725,26.56791946308725,-77.62,-0.086333,0.06-0.10
11,Türkiye vs. Paraguay,2026-06-20T03:00:00Z,Paraguay NO,NO,0.765,0.89863,0.765,62.95,82.2875816993464,19.337581699346405,-62.95,0.15383,0.15-0.22
12,Belgium vs. IR Iran,2026-06-21T19:00:00Z,Draw NO,NO,0.805,0.824792,0.805,24.58,30.534161490683225,5.954161490683227,-24.58,0.09106,0.06-0.10
13,New Zealand vs. Egypt,2026-06-22T01:00:00Z,Draw NO,NO,0.745,0.825619,0.745,77.62,104.18791946308725,26.56791946308725,-77.62,-0.092953,0.06-0.10
14,Norway vs. Senegal,2026-06-23T00:00:00Z,Senegal NO,NO,0.715,0.870641,0.715,95.77,133.94405594405595,38.17405594405595,-95.77,0.131209,0.10-0.15
15,Bosnia-Herzegovina vs. Qatar,2026-06-24T19:00:00Z,Draw NO,NO,0.775,0.806923,0.775,54.64,70.50322580645161,15.863225806451611,-54.64,-0.052215,0.03-0.06
16,Switzerland vs. Canada,2026-06-24T19:00:00Z,Draw NO,NO,0.715,0.800127,0.715,95.77,133.94405594405595,38.17405594405595,-95.77,0.038378,0.03-0.06
17,Czechia vs. Mexico,2026-06-25T01:00:00Z,Czech Republic NO,NO,0.805,0.847398,0.805,24.58,30.534161490683225,5.954161490683227,-24.58,-0.115221,0.10-0.15
18,Ecuador vs. Germany,2026-06-25T20:00:00Z,Ecuador NO,NO,0.795,0.918473,0.795,35.58,44.75471698113207,9.174716981132072,-35.58,-0.173307,0.15-0.22
19,Japan vs. Sweden,2026-06-25T23:00:00Z,Sweden NO,NO,0.735,0.947114,0.735,84.13,114.4625850340136,30.332585034013604,-84.13,0.210592,0.15-0.22
20,Paraguay vs. Australia,2026-06-26T02:00:00Z,Draw NO,NO,0.705,0.824617,0.705,101.0,143.26241134751774,42.26241134751774,-101.0,-0.090663,0.06-0.10
21,Türkiye vs. United States,2026-06-26T02:00:00Z,Draw NO,NO,0.745,0.789421,0.745,77.62,104.18791946308725,26.56791946308725,-77.62,0.017506,0.00-0.03
22,Norway vs. France,2026-06-26T19:00:00Z,Norway NO,NO,0.78,0.979073,0.78,50.2,64.35897435897436,14.158974358974358,-50.2,-0.286876,0.22-0.35
23,Senegal vs. Iraq,2026-06-26T19:00:00Z,Draw NO,NO,0.795,0.792913,0.795,35.58,44.75471698113207,9.174716981132072,-35.58,0.024195,0.00-0.03
24,Cabo Verde vs. Saudi Arabia,2026-06-27T00:00:00Z,Cape Verde NO,NO,0.625,0.920681,0.625,132.78,212.448,79.668,-132.78,-0.175723,0.15-0.22
25,Egypt vs. IR Iran,2026-06-27T03:00:00Z,Draw NO,NO,0.69,0.807623,0.69,108.21,156.82608695652175,48.61608695652175,-108.21,-0.053667,0.03-0.06
26,Colombia vs. Portugal,2026-06-27T23:30:00Z,Draw NO,NO,0.725,0.819991,0.725,90.16,124.35862068965517,34.19862068965517,-90.16,-0.080249,0.06-0.10
27,DR Congo vs. Uzbekistan,2026-06-27T23:30:00Z,Congo DR NO,NO,0.595,0.875507,0.595,141.47,237.76470588235296,96.29470588235296,-141.47,-0.134836,0.10-0.15
28,Algeria vs. Austria,2026-06-28T02:00:00Z,Draw NO,NO,0.695,0.809629,0.695,105.88,152.3453237410072,46.465323741007204,-105.88,-0.057861,0.03-0.06
