match_date,match_id,year,side,team,opponent,population,wealth_gdp_ppp,avg_temp_c,rank,population_score,wealth_score,climate_score,ranking_score,score_for,score_against,actual,city,host_country
1994-06-17,1,1994,a,Germany,Bolivia,81438348.0,22869.2124447891,9.6,1,0.667353920798432,0.5965633129851801,0.776592510126528,1.0,1,0,win,Chicago,United States
1994-06-17,1,1994,b,Bolivia,Germany,7727322.0,3331.48694317208,20.0,87,0.3927789277954249,0.2208233974248218,0.9059551911095096,0.1655406389193752,0,1,loss,Chicago,United States
1994-06-17,2,1994,a,Spain,South Korea,39549108.0,15582.4470419042,13.3,9,0.5831418995030097,0.5217328890667124,0.9559974818331,0.5894464086047984,2,2,draw,Dallas,United States
1994-06-17,2,1994,b,South Korea,Spain,44641540.0,12551.1693533946,11.5,27,0.5972632575929625,0.4795373775577809,0.8824969025845955,0.38416961290719753,2,2,draw,Dallas,United States
1994-06-18,3,1994,a,Colombia,Romania,35127410.0,6173.63611479219,24.8,8,0.5693190389893463,0.34114403122424725,0.6200068879809457,0.6114542856297229,1,3,loss,Pasadena,United States
1994-06-18,3,1994,b,Romania,Colombia,22730211.0,4995.38530173463,9.1,14,0.518569732664062,0.2998375236290898,0.7453593045429804,0.5068895206493126,3,1,win,Pasadena,United States
1994-06-18,4,1994,a,Italy,Republic of Ireland,56843400.0,21368.5687948064,13.5,2,0.6254350825363034,0.583325144997896,0.962154491713458,0.8704847618765743,0,1,loss,East Rutherford,United States
1994-06-18,4,1994,b,Republic of Ireland,Italy,3590386.0,17011.4382733955,9.3,12,0.30341376461288844,0.538846785736149,0.7579796312276883,0.5356927280555478,1,0,win,East Rutherford,United States
1994-06-18,5,1994,a,United States,Switzerland,263126000.0,27694.853416234,8.6,46,0.8040870151559608,0.6339067048946594,0.7131776783554898,0.28461455797178103,1,1,draw,Pontiac,United States
1994-06-18,5,1994,b,Switzerland,United States,6993795.0,30265.4119215667,6.5,17,0.38115053352193073,0.6512191775224315,0.5728686816364933,0.4706112767948082,1,1,draw,Pontiac,United States
1994-06-19,6,1994,a,Belgium,Morocco,10115603.0,21518.2541385756,10.7,30,0.4241780797034398,0.5846866967425381,0.8408053791958005,0.3644828960641646,1,0,win,Orlando,United States
1994-06-19,6,1994,b,Morocco,Belgium,26000822.0,3314.78149414063,18.3,33,0.5342430611903006,0.2198428735487151,0.967873075176895,0.34667409444288166,0,1,loss,Orlando,United States
1994-06-19,7,1994,a,Cameroon,Sweden,12704903.0,1751.68522971639,24.6,38,0.45074956790307824,0.09543707513670674,0.6334696366573507,0.3203134184418768,2,2,draw,Pasadena,United States
1994-06-19,7,1994,b,Sweden,Cameroon,8780745.0,21835.0182217095,2.1,10,0.40767877098931354,0.5875370504766189,0.3034148339163076,0.5697596917617653,2,2,draw,Pasadena,United States
1994-06-19,8,1994,a,Norway,Mexico,4336613.0,23027.353929175,1.5,29,0.32542957035314996,0.5979074524010377,0.27312123280177847,0.370817434616976,1,0,win,"Washington, D.C.",United States
1994-06-19,8,1994,b,Mexico,Norway,89259205.0,9465.90235452203,21.0,14,0.6780448587502019,0.4245101852526633,0.8569968914352789,0.5068895206493126,0,1,loss,"Washington, D.C.",United States
1994-06-20,9,1994,a,Brazil,Russia,159265006.0,7727.24541738904,25.0,2,0.7455523372078952,0.38492592894476646,0.6065306597126334,0.8704847618765743,2,0,win,Palo Alto,United States
1994-06-20,9,1994,b,Russia,Brazil,148407912.0,5734.421875,-5.1,11,0.7373206419933854,0.32674910277736857,0.0640424024615019,0.5519508901404825,0,2,loss,Palo Alto,United States
1994-06-20,10,1994,a,Netherlands,Saudi Arabia,15382838.0,22413.5258774144,10.4,5,0.47304875051835377,0.5926375399383722,0.8240037097874372,0.6992749298851911,2,1,win,"Washington, D.C.",United States
1994-06-20,10,1994,b,Saudi Arabia,Netherlands,12750040.0,48903.5791696777,26.0,39,0.451163039430934,0.7448131766710907,0.5394075072376266,0.31545987304597345,1,2,loss,"Washington, D.C.",United States
1994-06-21,11,1994,a,Argentina,Greece,34613491.0,10103.0297415979,14.8,7,0.567600736681059,0.4372156236930275,0.9911505004882849,0.6364047587727383,4,0,win,Foxborough,United States
1994-06-21,11,1994,b,Greece,Argentina,10512922.0,14667.1010047956,15.4,60,0.42866976646851146,0.5099248982676482,0.9977802450856064,0.23496765794073904,0,4,loss,Foxborough,United States
1994-06-21,12,1994,a,Germany,Spain,81438348.0,22869.2124447891,9.6,1,0.667353920798432,0.5965633129851801,0.776592510126528,1.0,1,1,draw,Chicago,United States
1994-06-21,12,1994,b,Spain,Germany,39549108.0,15582.4470419042,13.3,9,0.5831418995030097,0.5217328890667124,0.9559974818331,0.5894464086047984,1,1,draw,Chicago,United States
1994-06-21,13,1994,a,Nigeria,Bulgaria,107935714.0,2853.33080416608,26.8,23,0.7001955973174883,0.1906038938193187,0.4867522559599716,0.4141297960952067,3,0,win,Dallas,United States
